stock_id,trade_volume,transactions,trade_value,open,max,min,close,dir,change,date
0050,"7,681,874","11,801","1,474,449,161",191.05,193.20,190.80,192.95,<p style= color:red>+</p>,2.45,20241104
0051,"90,707",371,"7,300,047",80.80,80.80,80.05,80.40,<p> </p>,0.00,20241104
0052,"729,552","1,495","138,311,112",189.20,191.00,188.55,190.55,<p style= color:red>+</p>,2.55,20241104
0053,"38,200",121,"3,940,233",103.30,103.50,102.75,103.50,<p style= color:red>+</p>,1.40,20241104
0055,"207,787",360,"6,102,105",29.13,29.48,29.05,29.45,<p style= color:red>+</p>,0.38,20241104
0056,"24,863,473","19,668","929,148,551",37.44,37.49,37.20,37.48,<p style= color:red>+</p>,0.14,20241104
0057,"6,889",105,"974,407",140.85,141.85,140.85,141.85,<p style= color:red>+</p>,2.10,20241104
0061,"645,515",257,"12,529,261",19.50,19.50,19.32,19.41,<p style= color:green>-</p>,0.01,20241104
006203,"3,803",117,"343,872",90.75,90.90,90.75,90.90,<p style= color:red>+</p>,0.90,20241104
006204,"7,870",99,"901,297",114.30,114.85,114.30,114.85,<p style= color:red>+</p>,1.25,20241104
006205,"398,872",214,"13,256,765",33.39,33.44,33.10,33.26,<p style= color:green>-</p>,0.11,20241104
006206,"155,059",116,"4,878,384",31.52,31.60,31.33,31.47,<p style= color:green>-</p>,0.04,20241104
006207,"110,146",106,"2,766,417",25.20,25.20,24.99,25.09,<p style= color:green>-</p>,0.11,20241104
006208,"9,773,402","13,472","1,100,236,385",112.00,113.30,111.80,113.15,<p style= color:red>+</p>,1.50,20241104
00625K,0,0,0,--,--,--,--,<p> </p>,0.00,20241104
00631L,"4,678,929","4,655","1,121,130,840",237.90,242.20,237.00,241.95,<p style= color:red>+</p>,5.30,20241104
00632R,"92,889,991","3,475","307,242,398",3.31,3.33,3.29,3.30,<p style= color:green>-</p>,0.02,20241104
00633L,"5,683,707","1,310","226,819,038",40.19,40.19,39.52,39.88,<p style= color:green>-</p>,0.25,20241104
